y|t
yes|tak
Yes|Tak
yeah|no
yup|yup
yep|nom
ja|ja
ye|jep
sure|pewnie
ok|ok
okay|okej
alright|w porządku
fine|dobrze
yea|zaiste
duh|ba
obviously|oczywiście
alrighty|w porządku
i guess|tak myślę
kinda|poniekąd
kind of|trochę
totally|całkowicie
fo sho|z pewnością
roger|przyjąłem
yiss|taak
probably|pewnie
of course|oczywiście
ya|ta
yas|yes
you bet|zakład
okey|Okej
uh huh|uh huh
absolutely|absolutnie
poggers|poggers
n|n
no|nie
No|Nie
nope|nope
nein|nein
nah|nah
not really|nie bardzo
naw|nje
negative|negatywnie
nuh uh|nuh uh
na|na
hello|witaj
cześć|cześć
hey|hej
sup|sup
whats up|co słychać
yo|jo
hola|hola
heyo|hejo
hiya|siema
howdy|siemanko
greetings|serwus
ayo|ayo
wassup|jak leci
whats poppin|co jest
red|czerwony
blue|niebieski
green|zielony
yellow|żółty
orange|pomarańczowy
purple|fioletowy
pink|różowy
black|czarny
white|biały
brown|brązowy
gray|szary
teal|turkusowy
indigo|indygo
silver|srebrny
aquamarine|akwamaryna
rose|róż
gold|złoty
maroon|bordowy
violet|fiolet
burgundy|bordowy
aqua|morski
auburn|kasztanowy
bronze|brązowy
cyan|cyjanowy
crimson|karmazynowy
mint|miętowy
mustard|musztardowy
olive|oliwkowy
sapphire|szafirowy
vermillion|cynobrowy
january|styczeń
february|luty
march|marzec
april|kwiecień
may|maj
june|czerwiec
july|lipiec
august|sierpień
september|wrzesień
october|październik
november|listopad
december|grudzień
spring|wiosna
summer|lato
fall|jesień
autumn|jesień
winter|zima
rock|kamień
paper|papier
scissors|nożyce
help|pomoc
view|przeglądaj
roms|romy
songs|utwory
run|uruchom
buddy|buddy
simulator|simulator
play|odtwórz
open|otwórz
reset|reset
quit|wyjście
continue|kontynuuj
Ok bye!|Ok, na razie!
Ok bye [PLAYER]!|Ok, na razie [PLAYER]!
Come back soon! :)|Wróć wkrótce! :)
Now loading|Ładowanie
Oh, welcome back, [PLAYER]!|Witaj z powrotem, [PLAYER]!
Let's see, where did we leave off?|Zobaczmy, gdzie skończyliśmy?
Oh right!|No tak!
Loading THE ADVENTURE OF [PLAYER]|Ładowanie PRZYGODY [PLAYER]
RESTARTING SYSTEM MEMORY|RESTART PAMIĘCI SYSTEMOWEJ
Anekom Official OS (Version [NUMBER])|Oficjalny system operacyjny Anekom (wersja [NUMBER])
(c)1982 Anekom Software Inc. All rights reserved.|(c)1982 Anekom Software Inc. Wszelkie prawa zastrzeżone.
NEW SONG IS NOW AVAILABLE.|NOWY UTWÓR JEST JUŻ DOSTĘPNY.
Enter HELP for more assistance.|Aby uzyskać pomoc, wpisz POMOC.
